Executable,Potential DLL 
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\dbghelp.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\WINHTTP.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\WTSAPI32.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\NETAPI32.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\VERSION.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\USERENV.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\PROPSYS.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\WINMM.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\urlmon.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\ncrypt.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\iertutil.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\srvcli.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\netutils.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\CRYPTBASE.DLL
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\WKSCLI.DLL
C:\Program Files\Google\Chrome\Application\101.0.4951.41\Installer\chrmstp.exe,C:\Users\user\Desktop\Chrome\chrmstp.exe\NTASN1.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\chrome_pwa_launcher.exe,C:\Users\user\Desktop\Chrome\chrome_pwa_launcher.exe\USERENV.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\chrome_pwa_launcher.exe,C:\Users\user\Desktop\Chrome\chrome_pwa_launcher.exe\WINMM.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\chrome_pwa_launcher.exe,C:\Users\user\Desktop\Chrome\chrome_pwa_launcher.exe\CRYPTBASE.DLL
C:\Program Files\Google\Chrome\Application\101.0.4951.41\elevation_service.exe,C:\Users\user\Desktop\Chrome\elevation_service.exe\USERENV.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\elevation_service.exe,C:\Users\user\Desktop\Chrome\elevation_service.exe\WINMM.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\elevation_service.exe,C:\Users\user\Desktop\Chrome\elevation_service.exe\CRYPTBASE.DLL
C:\Program Files\Google\Chrome\Application\101.0.4951.41\notification_helper.exe,C:\Users\user\Desktop\Chrome\notification_helper.exe\VERSION.dll
C:\Program Files\Google\Chrome\Application\101.0.4951.41\notification_helper.exe,C:\Users\user\Desktop\Chrome\notification_helper.exe\WINMM.dll
