,file,autoEvelate,potentials
0,C:\Windows\System32\AgentService.exe,False,C:\Users\user\Desktop\git\out\system32\AgentService.exe\FLTLIB.DLL
2,C:\Windows\System32\AgentService.exe,False,C:\Users\user\Desktop\git\out\system32\AgentService.exe\VERSION.dll
5,C:\Windows\System32\AgentService.exe,False,C:\Users\user\Desktop\git\out\system32\AgentService.exe\ACTIVEDS.dll
9,C:\Windows\System32\AgentService.exe,False,C:\Users\user\Desktop\git\out\system32\AgentService.exe\adsldpc.dll
14,C:\Windows\System32\AgentService.exe,False,C:\Users\user\Desktop\git\out\system32\AgentService.exe\MSASN1.dll
15,C:\Windows\System32\AggregatorHost.exe,False,C:\Users\user\Desktop\git\out\system32\AggregatorHost.exe\USERENV.dll
16,C:\Windows\System32\aitstatic.exe,False,C:\Users\user\Desktop\git\out\system32\aitstatic.exe\mscoree.dll
17,C:\Windows\System32\alg.exe,False,C:\Users\user\Desktop\git\out\system32\alg.exe\CRYPTBASE.dll
19,C:\Windows\System32\alg.exe,False,C:\Users\user\Desktop\git\out\system32\alg.exe\MSWSOCK.dll
20,C:\Windows\System32\AppHostRegistrationVerifier.exe,False,C:\Users\user\Desktop\git\out\system32\AppHostRegistrationVerifier.exe\msvcp110_win.dll
21,C:\Windows\System32\appidpolicyconverter.exe,False,C:\Users\user\Desktop\git\out\system32\appidpolicyconverter.exe\msvcp110_win.dll
23,C:\Windows\System32\appidpolicyconverter.exe,False,C:\Users\user\Desktop\git\out\system32\appidpolicyconverter.exe\USERENV.dll
26,C:\Windows\System32\appidpolicyconverter.exe,False,C:\Users\user\Desktop\git\out\system32\appidpolicyconverter.exe\srpapi.dll
27,C:\Windows\System32\ApplicationFrameHost.exe,False,C:\Users\user\Desktop\git\out\system32\ApplicationFrameHost.exe\dxgi.dll
29,C:\Windows\System32\ApplicationFrameHost.exe,False,C:\Users\user\Desktop\git\out\system32\ApplicationFrameHost.exe\UxTheme.dll
30,C:\Windows\System32\ApplySettingsTemplateCatalog.exe,False,C:\Users\user\Desktop\git\out\system32\ApplySettingsTemplateCatalog.exe\ACTIVEDS.dll
32,C:\Windows\System32\ApplySettingsTemplateCatalog.exe,False,C:\Users\user\Desktop\git\out\system32\ApplySettingsTemplateCatalog.exe\adsldpc.dll
33,C:\Windows\System32\ApplyTrustOffline.exe,False,C:\Users\user\Desktop\git\out\system32\ApplyTrustOffline.exe\StateRepository.Core.dll
34,C:\Windows\System32\AppVClient.exe,False,C:\Users\user\Desktop\git\out\system32\AppVClient.exe\APPVPOLICY.dll
36,C:\Windows\System32\AppVClient.exe,False,C:\Users\user\Desktop\git\out\system32\AppVClient.exe\USERENV.dll
39,C:\Windows\System32\AppVClient.exe,False,C:\Users\user\Desktop\git\out\system32\AppVClient.exe\WTSAPI32.dll
43,C:\Windows\System32\AppVClient.exe,False,C:\Users\user\Desktop\git\out\system32\AppVClient.exe\NETAPI32.dll
48,C:\Windows\System32\AppVClient.exe,False,C:\Users\user\Desktop\git\out\system32\AppVClient.exe\Secur32.dll
54,C:\Windows\System32\AppVClient.exe,False,C:\Users\user\Desktop\git\out\system32\AppVClient.exe\WININET.dll
61,C:\Windows\System32\AppVClient.exe,False,C:\Users\user\Desktop\git\out\system32\AppVClient.exe\NETUTILS.DLL
69,C:\Windows\System32\AppVClient.exe,False,C:\Users\user\Desktop\git\out\system32\AppVClient.exe\SAMCLI.DLL
